symbol,datetime,open,high,low,close,volume
TCS,2026-01-01 09:15:00,3215,3220.8,3208.3,3216,89490
TCS,2026-01-01 09:16:00,3214,3214,3210,3210.9,45101
TCS,2026-01-01 09:17:00,3210,3222,3210,3221.9,8752
TCS,2026-01-01 09:18:00,3221.9,3225.3,3220.3,3225,3731
TCS,2026-01-01 09:19:00,3223,3224.6,3222,3223.3,9673
TCS,2026-01-01 09:20:00,3223.9,3224.8,3221.6,3222.2,7032
TCS,2026-01-01 09:21:00,3223,3224.8,3223,3224.7,3571
TCS,2026-01-01 09:22:00,3220.9,3220.9,3215.5,3216.6,8363
TCS,2026-01-01 09:23:00,3216.6,3216.9,3208.7,3209.5,6390
TCS,2026-01-01 09:24:00,3209.2,3211.5,3209.2,3210.5,4705
TCS,2026-01-01 09:25:00,3210.4,3211.1,3209.2,3210.7,4738
TCS,2026-01-01 09:26:00,3210.7,3210.9,3207,3209.4,4070
TCS,2026-01-01 09:27:00,3207.8,3208.3,3205.3,3206.1,4423
TCS,2026-01-01 09:28:00,3206.1,3211,3206,3209,5269
TCS,2026-01-01 09:29:00,3208,3210,3208,3209.9,1270
TCS,2026-01-01 09:30:00,3208.1,3209.4,3208.1,3209,3201
TCS,2026-01-01 09:31:00,3209.5,3209.5,3205,3206,4054
TCS,2026-01-01 09:32:00,3206.2,3207,3202.9,3204.8,4787
TCS,2026-01-01 09:33:00,3204.7,3204.7,3202.1,3202.5,2436
TCS,2026-01-01 09:34:00,3202.9,3205.2,3202.9,3203.5,2240
TCS,2026-01-01 09:35:00,3203.6,3205.2,3203.4,3204.1,1658
TCS,2026-01-01 09:36:00,3204.1,3204.8,3204,3204.4,1111
TCS,2026-01-01 09:37:00,3204.3,3204.4,3203,3204,672
TCS,2026-01-01 09:38:00,3204,3204.3,3198.2,3200.8,12960
TCS,2026-01-01 09:39:00,3200,3201.3,3199.3,3200.9,5750
TCS,2026-01-01 09:40:00,3201.3,3201.3,3199,3200,5171
TCS,2026-01-01 09:41:00,3199.8,3201.4,3199.1,3200,5686
TCS,2026-01-01 09:42:00,3199.4,3201,3199.4,3200,5747
TCS,2026-01-01 09:43:00,3199.9,3200.9,3199.9,3200.9,2322
TCS,2026-01-01 09:44:00,3200,3201,3199.7,3201,3544
TCS,2026-01-01 09:45:00,3199.6,3200.7,3199.6,3200.3,983
TCS,2026-01-01 09:46:00,3200.6,3203,3200,3203,4448
TCS,2026-01-01 09:47:00,3202.9,3202.9,3199.5,3200,3859
TCS,2026-01-01 09:48:00,3200.5,3200.8,3200,3200,737
TCS,2026-01-01 09:49:00,3200,3203,3200,3203,1511
TCS,2026-01-01 09:50:00,3204.3,3204.9,3204,3204.3,3722
TCS,2026-01-01 09:51:00,3204.9,3210.4,3204.4,3210,4615
